,director,country,date_added,imdbRating,imdbVotes,language,time,season,type_Movie,type_TV Show,genre,cast_shows,cast_movies
176,0,1,2015.0,5.4,5164.0,1,112 ,0,1.0,0.0,0.0,0.0,0.0
177,0,1,2019.0,7.1,26256.0,1,89 ,0,1.0,0.0,0.0,0.0,0.0
178,0,1,2019.0,8.4,7.0,1,60 ,0,1.0,0.0,0.0,0.0,0.0
179,0,1,2018.0,6.5,33309.0,1,93 ,0,1.0,0.0,0.0,0.0,0.0
180,0,0,2018.0,6.5,747.0,1,41 ,0,0.0,1.0,0.0,0.0,0.0
181,0,1,2017.0,7.0,5226.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
182,0,0,2017.0,8.1,50611.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
189,0,1,2019.0,5.7,8133.0,1,86 ,0,1.0,0.0,0.0,0.0,0.0
190,0,1,2019.0,8.0,1348.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
191,0,1,2018.0,6.4,1269.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
192,0,0,2017.0,5.6,531.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
193,0,0,2017.0,5.2,5804.0,1,0,1 ,0.0,1.0,1.0,0.0,0.0
194,0,0,2017.0,5.3,161.0,1,92 ,0,0.0,1.0,0.0,0.0,0.0
196,0,0,2015.0,7.1,2915.0,0,111 ,0,1.0,0.0,0.0,0.0,0.0
197,0,0,2019.0,3.2,251.0,0,141 ,0,1.0,0.0,0.0,0.0,0.0
198,0,0,2019.0,7.3,9506.0,0,128 ,0,0.0,1.0,0.0,0.0,0.0
199,0,0,2019.0,6.5,11391.0,1,0,1 ,1.0,0.0,1.0,0.0,0.0
200,0,0,2019.0,7.5,600.0,1,52 ,0,1.0,0.0,0.0,0.0,0.0
201,0,0,2019.0,7.3,2459.0,0,117 ,0,1.0,0.0,0.0,0.0,0.0
202,0,0,2019.0,8.1,961.0,0,100 ,0,1.0,0.0,0.0,0.0,0.0
203,0,0,2019.0,7.5,801.0,0,110 ,0,0.0,1.0,0.0,0.0,0.0
204,0,0,2018.0,6.9,201120.0,1,98 ,0,1.0,0.0,0.0,0.0,0.0
205,0,1,2017.0,5.9,48.0,1,137 ,0,0.0,1.0,0.0,0.0,0.0
206,0,0,2019.0,5.4,13563.0,0,132 ,0,1.0,0.0,0.0,0.0,0.0
207,0,1,2018.0,6.2,77078.0,1,87 ,0,1.0,0.0,0.0,0.0,0.0
208,0,0,2018.0,7.5,377500.0,0,92 ,0,1.0,0.0,0.0,0.0,0.0
209,0,1,2016.0,6.4,35043.0,1,108 ,0,1.0,0.0,0.0,0.0,0.0
210,0,0,2016.0,6.0,648.0,1,0,1 ,1.0,0.0,1.0,0.0,0.0
212,0,1,2016.0,6.9,2043.0,1,83 ,0,1.0,0.0,0.0,0.0,0.0
213,0,1,2016.0,7.5,7061.0,1,90 ,0,1.0,0.0,0.0,0.0,0.0
214,0,0,2019.0,6.8,679.0,1,157 ,0,0.0,1.0,0.0,0.0,0.0
215,0,1,2019.0,5.6,135.0,1,83 ,0,0.0,1.0,0.0,0.0,0.0
216,0,1,2019.0,8.1,1436.0,1,95 ,0,0.0,1.0,0.0,0.0,0.0
217,0,0,2019.0,6.9,138.0,0,109 ,0,1.0,0.0,0.0,0.0,0.0
218,0,0,2019.0,7.2,15264.0,0,0,1 ,0.0,1.0,0.0,0.0,0.0
219,0,0,2019.0,7.5,347.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
220,0,1,2019.0,7.6,3952.0,0,0,1 ,0.0,1.0,0.0,0.0,0.0
221,0,0,2019.0,7.0,4231.0,1,100 ,0,0.0,1.0,0.0,0.0,0.0
222,0,1,2019.0,7.8,60572.0,1,114 ,0,1.0,0.0,0.0,0.0,0.0
223,0,1,2019.0,5.5,118.0,1,98 ,0,0.0,1.0,0.0,0.0,0.0
